Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,85.48,86.09,84.98,85.13,4471100,85.13
2013-11-19,85.61,85.81,84.93,85.29,3974000,85.29
2013-11-18,86.02,86.18,85.40,85.86,4157500,85.86
2013-11-15,86.33,86.58,85.56,86.03,3324000,86.03
2013-11-14,85.98,86.63,85.88,86.39,2897300,86.39
2013-11-13,85.47,86.01,85.19,85.95,3228400,85.95
2013-11-12,85.41,85.68,85.03,85.64,4561000,85.64
2013-11-11,85.75,86.12,85.26,85.45,4309200,85.45
2013-11-08,85.29,85.88,84.32,85.85,5159200,85.85
2013-11-07,86.57,86.68,85.09,85.30,5870000,85.30
2013-11-06,84.95,86.73,84.67,86.68,5763600,86.68
2013-11-05,84.06,84.91,83.83,84.62,3207600,84.62
2013-11-04,84.62,84.99,84.14,84.37,3572800,84.37
2013-11-01,84.15,84.69,83.84,84.56,4150000,84.56
2013-10-31,84.65,84.90,84.09,84.09,4572200,84.09
2013-10-30,85.47,85.49,84.61,84.72,3556100,84.72
2013-10-29,84.75,85.50,84.50,85.49,4349400,85.49
2013-10-28,83.36,84.71,83.23,84.61,5402000,84.61
2013-10-25,82.55,83.37,82.44,83.35,4065100,83.35
2013-10-24,83.41,83.41,82.54,82.54,5510800,82.54
2013-10-23,83.27,83.44,82.79,83.33,4665200,83.33
2013-10-22,82.45,83.73,82.30,83.44,5125900,83.44
2013-10-21,82.97,82.97,82.19,82.37,3997400,82.37
2013-10-18,82.65,83.01,82.23,83.01,6371200,83.01
2013-10-17,82.05,82.62,81.63,82.58,4469200,82.58
2013-10-16,82.00,82.40,81.38,82.27,7383200,82.27
2013-10-15,81.17,81.53,80.40,80.60,5427700,80.60
2013-10-14,80.45,81.12,80.34,81.09,3642800,81.09
2013-10-11,80.73,81.09,80.45,80.83,4111000,80.83
2013-10-10,79.96,80.69,79.81,80.69,4663300,80.69
2013-10-09,79.11,80.19,78.87,79.50,5298600,79.50
2013-10-08,79.29,79.35,78.86,78.93,5526500,78.93
2013-10-07,79.25,79.59,78.96,79.06,4867100,79.06
2013-10-04,79.58,79.93,79.13,79.62,2841500,79.62
2013-10-03,79.57,79.91,79.29,79.44,3987600,79.44
2013-10-02,79.53,79.58,78.67,79.56,5448300,79.56
2013-10-01,79.38,79.82,79.02,79.82,4135500,79.82
2013-09-30,79.86,79.92,79.25,79.50,5231400,79.50
2013-09-27,80.36,80.68,79.90,80.20,3429200,80.20
2013-09-26,80.28,80.57,79.85,80.54,3941600,80.54
2013-09-25,80.68,81.16,80.08,80.21,5174300,80.21
2013-09-24,80.96,81.23,80.46,80.54,5686200,80.54
2013-09-23,81.56,81.58,80.95,81.02,5384600,81.02
2013-09-20,82.00,82.00,81.48,81.74,5330500,81.74
2013-09-19,82.88,82.94,81.34,81.82,5351700,81.82
2013-09-18,81.69,82.93,81.25,82.88,4916800,82.88
2013-09-17,81.01,81.84,80.97,81.66,4139300,81.66
2013-09-16,80.79,81.22,80.61,81.02,4083900,81.02
2013-09-13,80.10,80.40,79.90,80.32,3416100,80.32
2013-09-12,79.97,80.05,79.56,79.87,3322300,79.87
2013-09-11,79.47,79.90,79.14,79.85,4437900,79.85
2013-09-10,79.76,79.80,79.03,79.43,4682500,79.43
2013-09-09,79.25,79.48,78.79,79.38,3757100,79.38
2013-09-06,79.11,79.68,78.32,79.26,4443600,79.26
2013-09-05,79.53,79.71,78.80,79.07,4025500,79.07
2013-09-04,79.71,79.71,79.00,79.53,5335000,79.53
2013-09-03,80.48,80.79,80.04,80.20,5966600,79.63
2013-08-30,79.42,79.84,79.23,79.73,4362700,79.17
2013-08-29,79.25,79.74,79.05,79.33,5617000,78.77
2013-08-28,78.96,79.68,78.94,79.37,5057400,78.81
2013-08-27,79.19,79.39,78.61,79.06,5179700,78.50
2013-08-26,79.97,80.10,79.67,79.69,4079000,79.13
2013-08-23,79.52,79.98,79.27,79.85,3026900,79.28
2013-08-22,78.99,79.69,78.71,79.25,3821500,78.69
2013-08-21,80.06,80.16,79.01,79.08,5453900,78.52
2013-08-20,80.96,80.96,80.26,80.29,3452900,79.72
2013-08-19,80.11,81.05,79.82,80.88,4945100,80.31
2013-08-16,80.60,80.75,79.94,80.18,6032400,79.61
2013-08-15,82.24,82.28,80.83,80.91,5350200,80.34
2013-08-14,83.34,83.54,82.73,82.75,3080600,82.16
2013-08-13,83.91,84.10,83.26,83.39,2953000,82.80
2013-08-12,83.93,84.03,83.53,83.81,2868600,83.22
2013-08-09,84.68,84.77,84.18,84.34,3753900,83.74
2013-08-08,84.98,85.09,84.44,84.68,2707900,84.08
2013-08-07,84.93,84.99,84.36,84.76,3832600,84.16
2013-08-06,84.44,85.43,84.12,85.05,3837800,84.45
2013-08-05,84.34,84.64,83.77,84.48,3590200,83.88
2013-08-02,84.00,84.34,83.40,84.29,4442800,83.69
2013-08-01,84.04,84.40,83.87,84.20,5790900,83.60
2013-07-31,85.29,85.66,83.43,83.54,8016500,82.95
2013-07-30,85.57,85.99,85.11,85.11,4354700,84.51
2013-07-29,85.26,85.60,84.96,85.25,3406300,84.65
2013-07-26,84.85,85.34,84.36,85.31,4189800,84.71
2013-07-25,85.64,85.80,85.28,85.55,5084900,84.94
2013-07-24,86.70,86.70,85.64,85.64,5939800,85.03
2013-07-23,86.37,86.43,85.97,86.20,6321200,85.59
2013-07-22,86.19,86.94,86.03,86.40,4780500,85.79
2013-07-19,86.34,86.84,85.87,86.41,6146200,85.80
2013-07-18,85.33,87.06,85.30,86.80,9202600,86.19
2013-07-17,84.05,85.51,83.93,85.24,7280100,84.64
2013-07-16,83.93,84.30,83.31,84.02,4480500,83.42
2013-07-15,84.43,84.92,84.33,84.72,4215000,84.12
2013-07-12,84.05,84.52,83.84,84.32,4349300,83.72
2013-07-11,83.65,84.63,83.65,84.55,4746500,83.95
2013-07-10,82.77,83.42,82.67,82.99,5654100,82.40
2013-07-09,82.21,82.87,81.96,82.77,3834500,82.18
