Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,184.65,184.70,181.80,182.20,668700,182.20
2013-11-19,184.23,185.50,184.05,184.76,312800,184.76
2013-11-18,184.97,185.54,184.11,184.65,462400,184.65
2013-11-15,186.38,186.89,184.67,184.90,683900,184.90
2013-11-14,185.00,185.61,183.72,185.58,517200,185.58
2013-11-13,181.68,184.90,181.57,184.62,981000,184.62
2013-11-12,182.18,182.99,181.38,182.51,615200,182.51
2013-11-11,181.73,183.15,181.58,182.16,748600,182.16
2013-11-08,180.00,181.79,179.38,181.57,1103600,181.57
2013-11-07,183.29,184.32,179.35,179.64,884200,179.64
2013-11-06,182.34,184.84,182.34,182.80,862100,182.80
2013-11-05,182.94,184.46,181.61,183.32,551400,182.71
2013-11-04,183.50,183.60,181.67,183.46,607700,182.85
2013-11-01,182.80,183.39,181.71,182.75,733300,182.14
2013-10-31,181.74,184.57,181.55,182.58,917700,181.97
2013-10-30,186.28,187.28,179.13,181.66,1188200,181.06
2013-10-29,181.20,185.68,181.20,185.51,827300,184.89
2013-10-28,181.93,182.07,180.33,180.89,500800,180.29
2013-10-25,179.46,181.95,179.09,181.92,569800,181.31
2013-10-24,178.75,179.61,177.95,179.46,361800,178.86
2013-10-23,180.28,180.44,178.32,178.45,717600,177.86
2013-10-22,177.85,180.73,176.51,180.12,909600,179.52
2013-10-21,175.30,177.02,174.45,176.61,842700,176.02
2013-10-18,175.36,176.58,173.55,175.77,1353900,175.19
2013-10-17,169.75,174.74,167.24,174.47,1534800,173.89
2013-10-16,167.20,168.01,165.56,166.22,958000,165.67
2013-10-15,166.12,166.63,164.89,165.48,455800,164.93
2013-10-14,165.46,166.50,164.68,166.13,619100,165.58
2013-10-11,164.87,166.79,164.57,166.75,909300,166.20
2013-10-10,164.70,165.95,163.80,164.73,1150700,164.18
2013-10-09,162.98,164.22,160.76,162.48,1115500,161.94
2013-10-08,167.91,168.01,162.70,162.81,870400,162.27
2013-10-07,168.77,170.20,167.51,167.91,921500,167.35
2013-10-04,166.14,171.00,165.97,170.90,923100,170.33
2013-10-03,166.19,166.83,165.06,166.49,770400,165.94
2013-10-02,165.53,166.64,164.86,166.64,666900,166.09
2013-10-01,167.13,167.81,166.10,166.81,592900,166.25
2013-09-30,163.78,167.13,163.52,167.06,752400,166.50
2013-09-27,165.44,166.31,164.88,165.27,655600,164.72
2013-09-26,165.10,166.96,164.79,166.65,456800,166.10
2013-09-25,163.94,165.34,163.40,164.64,889700,164.09
2013-09-24,163.68,165.18,163.21,163.47,795600,162.93
2013-09-23,166.16,166.16,163.33,163.42,938200,162.88
2013-09-20,167.99,172.21,166.16,166.28,707700,165.73
2013-09-19,167.79,168.97,167.20,167.99,460200,167.43
2013-09-18,164.65,167.98,163.62,167.81,555200,167.25
2013-09-17,165.20,165.53,164.24,165.36,439200,164.81
2013-09-16,165.20,165.89,164.35,165.20,429200,164.65
2013-09-13,163.31,163.98,162.17,162.44,456900,161.90
2013-09-12,164.19,165.52,162.31,162.87,445600,162.33
2013-09-11,163.58,164.71,163.14,164.42,403000,163.87
2013-09-10,162.83,163.71,162.21,163.71,620100,163.17
2013-09-09,159.54,161.96,159.54,161.64,417300,161.10
2013-09-06,160.98,161.18,157.58,159.25,645100,158.72
2013-09-05,158.85,161.34,158.34,160.57,319500,160.04
2013-09-04,156.90,159.43,156.35,158.94,565100,158.41
2013-09-03,158.54,159.92,156.47,157.21,496100,156.69
2013-08-30,156.54,157.25,155.70,156.21,374200,155.69
2013-08-29,155.29,157.24,155.27,156.19,706200,155.67
2013-08-28,156.94,157.70,155.60,155.76,819200,155.24
2013-08-27,158.28,159.00,157.00,157.76,536000,157.24
2013-08-26,162.64,162.85,159.76,160.27,429200,159.74
2013-08-23,160.46,162.42,158.69,162.24,700900,161.70
2013-08-22,159.43,160.48,157.86,160.15,330300,159.62
2013-08-21,158.81,160.56,157.80,159.11,443700,158.58
2013-08-20,156.95,160.05,156.81,158.97,806800,158.44
2013-08-19,158.15,159.33,156.52,156.81,525800,156.29
2013-08-16,158.06,159.38,157.57,158.59,688900,158.06
2013-08-15,161.00,161.00,158.29,158.77,578700,158.24
2013-08-14,162.96,163.43,161.96,162.37,664300,161.83
2013-08-13,160.87,163.30,160.41,162.76,663900,162.22
2013-08-12,161.02,161.91,160.27,161.34,750600,160.80
2013-08-09,161.47,162.73,160.81,161.69,412900,161.15
2013-08-08,162.03,162.72,160.38,161.83,796300,161.29
2013-08-07,160.94,161.93,160.10,161.09,526600,159.95
2013-08-06,161.57,161.65,159.54,161.42,661200,160.27
2013-08-05,161.62,162.54,160.68,161.89,723500,160.74
2013-08-02,162.49,163.54,160.45,162.36,499000,161.21
2013-08-01,156.26,165.64,156.26,162.76,476800,161.60
2013-07-31,161.50,162.26,160.01,160.44,631500,159.30
2013-07-30,161.09,161.64,160.00,161.05,653500,159.91
2013-07-29,158.23,161.48,157.42,161.17,774200,160.03
2013-07-26,158.50,158.50,156.38,157.11,522200,155.99
2013-07-25,157.09,158.79,156.94,158.73,563800,157.60
2013-07-24,159.56,159.87,156.18,157.08,852000,155.96
2013-07-23,160.77,161.34,158.94,159.13,671100,158.00
2013-07-22,159.01,161.13,158.91,159.73,1008500,158.60
2013-07-19,160.07,160.94,159.02,159.16,878400,158.03
2013-07-18,156.79,161.47,156.18,160.00,1368400,158.86
2013-07-17,155.64,156.93,155.38,156.86,647000,155.75
2013-07-16,157.04,157.09,154.13,154.84,569700,153.74
2013-07-15,157.98,158.04,156.71,156.99,425300,155.88
2013-07-12,157.91,158.13,156.19,157.73,792300,156.61
2013-07-11,159.12,159.51,157.13,158.03,885500,156.91
2013-07-10,156.58,157.00,155.36,156.04,582200,154.93
2013-07-09,154.53,156.79,153.04,156.53,858000,155.42
2013-07-08,153.30,153.65,151.31,153.23,601500,152.14
2013-07-05,150.57,152.70,150.57,152.42,644600,151.34
2013-07-03,147.14,149.94,144.58,149.59,369200,148.53
2013-07-02,147.85,149.82,147.74,149.08,701900,148.02
2013-07-01,147.05,150.19,146.56,148.44,681500,147.39
2013-06-28,147.92,148.24,146.00,146.41,2336000,145.37
2013-06-27,150.10,150.52,148.34,149.03,779900,147.97
2013-06-26,148.69,149.96,146.90,149.00,762300,147.94
2013-06-25,149.18,150.24,146.77,147.83,650200,146.78
2013-06-24,148.83,148.87,145.21,146.68,769200,145.64
2013-06-21,151.91,152.04,147.63,148.90,1046300,147.84
2013-06-20,152.25,152.76,149.61,150.08,1065200,149.01
2013-06-19,156.32,157.22,154.09,154.17,501000,153.08
2013-06-18,156.04,156.75,155.11,156.57,516200,155.46
2013-06-17,155.00,156.94,154.36,156.11,557800,155.00
2013-06-14,154.37,155.72,153.11,153.83,459700,152.74
2013-06-13,150.46,155.90,150.46,155.27,827600,154.17
2013-06-12,153.35,153.69,150.68,150.95,409300,149.88
2013-06-11,151.79,153.83,151.01,151.90,440600,150.82
2013-06-10,155.99,155.99,153.10,154.27,318300,153.17
2013-06-07,153.09,155.34,152.52,154.92,683500,153.82
2013-06-06,149.15,151.58,149.04,151.27,444100,150.20
2013-06-05,153.06,153.45,149.93,149.99,573100,148.92
2013-06-04,154.89,156.21,152.85,153.56,566000,152.47
2013-06-03,154.47,155.29,152.20,155.14,661600,154.04
2013-05-31,155.63,156.54,153.61,153.61,550300,152.52
2013-05-30,157.39,157.63,155.72,156.31,404800,155.20
2013-05-29,156.21,157.92,155.58,157.10,383900,155.98
2013-05-28,158.89,159.50,156.08,157.33,568500,156.21
2013-05-24,155.64,157.43,154.33,156.83,550300,155.72
2013-05-23,155.43,157.90,154.36,156.86,558800,155.75
2013-05-22,158.89,160.83,156.59,157.55,646300,156.43
2013-05-21,157.54,159.43,157.02,158.94,705200,157.81
2013-05-20,158.36,158.48,155.80,157.06,646500,155.94
2013-05-17,156.71,158.89,155.89,158.84,572400,157.71
2013-05-16,156.07,157.40,155.40,155.55,495500,154.45
2013-05-15,156.06,157.85,155.57,156.47,824300,155.36
2013-05-14,153.49,156.86,153.34,156.81,624300,155.70
2013-05-13,153.65,153.97,152.43,153.21,381700,152.12
2013-05-10,153.79,154.60,153.11,154.13,540800,153.04
2013-05-09,154.66,155.13,153.58,153.92,886000,152.83
2013-05-08,152.96,155.18,152.38,155.14,966200,154.04
2013-05-07,151.88,153.38,151.78,153.22,508800,151.53
2013-05-06,152.13,152.13,150.61,151.76,572100,150.08
2013-05-03,150.60,152.58,150.01,152.28,1020600,150.60
2013-05-02,145.88,148.88,145.31,148.48,823500,146.84
2013-05-01,145.82,147.09,145.11,145.20,1072200,143.59
2013-04-30,147.10,147.36,145.63,147.14,817900,145.51
2013-04-29,145.64,147.21,144.88,147.02,556200,145.39
2013-04-26,146.76,146.85,144.25,144.93,572400,143.33
2013-04-25,146.00,148.56,145.46,146.91,967900,145.29
2013-04-24,145.00,145.85,144.35,144.98,891900,143.38
2013-04-23,143.95,144.88,143.12,144.80,796700,143.20
2013-04-22,141.62,144.05,140.81,143.55,1105700,141.96
2013-04-19,140.66,142.23,139.60,141.59,1803500,140.02
2013-04-18,135.66,142.00,135.66,140.65,2390500,139.10
2013-04-17,133.39,133.98,131.75,132.40,1099300,130.94
2013-04-16,132.71,134.67,132.11,134.55,1311500,133.06
2013-04-15,135.17,135.46,131.39,131.44,1238700,129.99
2013-04-12,136.95,137.44,135.52,136.25,690000,134.74
2013-04-11,134.69,138.13,134.62,137.61,1087000,136.09
2013-04-10,133.11,134.88,132.82,134.66,1041100,133.17
2013-04-09,131.52,132.95,131.38,132.65,1280900,131.18
