Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,149.25,150.75,144.51,145.62,1126200,145.62
2013-11-19,148.62,151.65,147.40,149.26,898700,149.26
2013-11-18,151.51,152.93,150.23,150.54,1198200,150.54
2013-11-15,149.90,152.27,149.06,150.84,1575700,150.84
2013-11-14,144.56,150.44,144.56,149.05,1411500,149.05
2013-11-13,141.30,144.53,141.30,144.25,714400,144.25
2013-11-12,142.61,143.70,141.12,142.77,845100,142.15
2013-11-11,144.82,145.53,141.92,142.51,1067200,141.89
2013-11-08,144.02,145.26,142.66,145.25,681800,144.61
2013-11-07,147.63,149.14,143.80,143.95,844000,143.32
2013-11-06,147.63,148.73,146.21,146.53,857100,145.89
2013-11-05,149.40,149.49,147.00,147.85,823700,147.20
2013-11-04,148.24,150.31,147.93,150.26,678800,149.60
2013-11-01,146.02,147.28,145.14,147.06,779100,146.42
2013-10-31,146.56,147.93,145.26,146.01,828200,145.37
2013-10-30,149.00,149.47,144.85,147.03,971600,146.39
2013-10-29,146.32,148.95,145.89,148.93,891000,148.28
2013-10-28,146.50,147.32,144.70,145.99,564900,145.35
2013-10-25,147.60,147.92,144.19,146.18,712200,145.54
2013-10-24,144.58,147.62,143.70,147.26,1090000,146.62
2013-10-23,145.76,147.08,143.74,144.40,1251900,143.77
2013-10-22,140.85,147.44,138.01,146.19,4149700,145.55
2013-10-21,133.25,135.00,129.39,130.97,2373700,130.40
2013-10-18,135.96,136.03,132.40,133.43,1071900,132.85
2013-10-17,132.85,134.87,131.97,134.70,1199200,134.11
2013-10-16,133.12,134.48,131.50,133.74,1106400,133.15
2013-10-15,131.27,132.64,129.57,132.05,1686500,131.47
2013-10-14,138.76,138.76,129.22,131.29,3701600,130.72
2013-10-11,139.67,140.45,138.32,140.42,450900,139.81
2013-10-10,137.51,140.38,136.65,139.36,722700,138.75
2013-10-09,133.72,138.07,132.88,136.13,1120600,135.53
2013-10-08,135.96,137.50,133.66,134.07,1131000,133.48
2013-10-07,138.00,138.75,136.10,136.63,1160000,136.03
2013-10-04,139.42,141.05,138.18,139.68,904700,139.07
2013-10-03,141.52,142.32,138.06,139.42,1877200,138.81
2013-10-02,143.29,143.52,140.41,141.62,2223000,141.00
2013-10-01,146.05,147.11,144.01,144.69,1264700,144.06
2013-09-30,145.48,147.32,144.29,146.44,690200,145.80
2013-09-27,147.48,149.00,146.77,147.41,442500,146.76
2013-09-26,149.22,149.85,146.77,147.66,817900,147.01
2013-09-25,148.55,149.64,146.08,148.51,770200,147.86
2013-09-24,146.31,150.48,145.89,148.78,812100,148.13
2013-09-23,148.20,148.28,144.48,146.31,763500,145.67
2013-09-20,150.23,150.76,147.86,148.05,1256600,147.40
2013-09-19,150.61,151.84,148.98,149.71,1420600,149.05
2013-09-18,144.60,149.81,141.94,149.81,1777200,149.15
2013-09-17,141.18,144.00,140.50,143.03,950400,142.40
2013-09-16,139.70,141.86,139.25,141.24,1541900,140.62
2013-09-13,135.71,137.20,134.73,137.00,739800,136.40
2013-09-12,135.78,137.07,134.50,134.93,670700,134.34
2013-09-11,137.00,137.43,134.86,135.79,1166700,135.20
2013-09-10,136.36,136.99,134.99,136.96,566900,136.36
2013-09-09,132.21,136.46,131.53,135.62,914000,135.03
2013-09-06,130.62,132.50,128.78,131.37,771900,130.79
2013-09-05,131.60,132.01,129.39,129.48,572600,128.91
2013-09-04,128.43,132.00,128.21,131.76,979400,131.18
2013-09-03,131.03,131.16,128.00,128.56,562700,128.00
2013-08-30,129.88,130.61,127.98,128.65,552400,128.09
2013-08-29,128.55,131.50,128.55,129.78,467900,129.21
2013-08-28,128.48,130.20,128.12,128.84,523400,128.28
2013-08-27,131.53,132.47,127.59,128.74,1197600,127.55
2013-08-26,134.12,136.66,132.70,133.10,644200,131.87
2013-08-23,136.90,137.49,134.21,134.30,892900,133.06
2013-08-22,132.15,137.35,132.07,136.86,1019300,135.60
2013-08-21,133.54,134.39,131.32,131.70,915800,130.49
2013-08-20,132.31,135.11,132.30,134.25,644800,133.01
2013-08-19,133.36,134.52,131.79,131.81,716800,130.60
2013-08-16,132.87,135.18,132.47,133.66,1012200,132.43
2013-08-15,130.49,133.02,128.90,132.71,1341100,131.49
2013-08-14,134.30,134.88,131.02,132.46,668100,131.24
2013-08-13,135.20,135.49,132.71,134.42,962000,133.18
2013-08-12,132.45,136.25,132.45,135.06,697300,133.82
2013-08-09,133.00,134.55,132.08,133.26,789100,132.03
2013-08-08,133.34,135.00,132.85,133.01,897600,131.78
2013-08-07,130.71,133.54,130.14,132.77,1265800,131.55
2013-08-06,136.08,137.18,131.37,131.81,1348400,130.60
2013-08-05,137.19,137.82,135.87,137.05,521500,135.79
2013-08-02,136.67,138.33,136.06,137.72,783200,136.45
2013-08-01,135.69,137.18,135.06,136.67,1140500,135.41
2013-07-31,132.12,136.44,131.91,133.94,1299400,132.71
2013-07-30,131.48,131.85,129.79,131.66,807100,130.45
2013-07-29,130.13,131.44,129.51,130.56,787300,129.36
2013-07-26,128.24,130.56,128.04,130.39,988400,129.19
2013-07-25,129.09,131.87,127.04,129.48,1803900,128.29
2013-07-24,131.50,131.98,128.55,129.82,1144800,128.62
2013-07-23,131.76,132.63,130.40,131.04,1312600,129.83
2013-07-22,128.98,132.56,128.55,131.68,1423500,130.47
2013-07-19,126.05,129.99,124.06,128.91,2581500,127.72
2013-07-18,121.24,123.64,118.92,119.37,1774800,118.27
2013-07-17,121.57,122.14,119.25,120.60,979100,119.49
2013-07-16,124.73,124.77,119.72,121.08,1764400,119.96
2013-07-15,123.74,125.19,123.05,124.83,1114000,123.68
2013-07-12,122.98,123.91,122.21,123.35,595400,122.21
2013-07-11,121.98,124.54,121.84,123.36,1701100,122.22
2013-07-10,114.31,120.04,113.84,119.62,1513800,118.52
2013-07-09,114.75,115.45,114.00,114.29,1047400,113.24
2013-07-08,114.82,116.10,113.37,113.59,768100,112.54
2013-07-05,115.28,115.74,111.70,114.50,1093400,113.45
2013-07-03,116.35,116.35,114.30,114.99,665100,113.93
2013-07-02,116.01,117.95,115.67,116.35,1150900,115.28
2013-07-01,115.55,117.76,114.54,115.90,884100,114.83
2013-06-28,115.31,115.74,114.06,114.36,1136000,113.31
2013-06-27,113.72,116.00,112.53,115.43,898000,114.37
2013-06-26,114.85,116.73,111.94,112.55,1226300,111.51
2013-06-25,112.55,116.35,112.55,114.00,1289200,112.95
2013-06-24,111.00,112.97,107.88,111.77,2335900,110.74
2013-06-21,121.79,121.79,110.88,113.32,3302600,112.28
2013-06-20,125.15,125.15,119.25,120.30,1330700,119.19
2013-06-19,129.43,130.11,126.78,126.80,542100,125.63
2013-06-18,130.02,130.34,127.95,129.61,456900,128.42
2013-06-17,130.44,131.59,128.18,129.28,543400,128.09
2013-06-14,127.10,130.21,127.10,129.24,880100,128.05
2013-06-13,122.84,128.26,122.27,127.82,834000,126.64
2013-06-12,124.96,125.38,122.69,122.85,517500,121.72
2013-06-11,124.90,126.62,123.41,124.10,777400,122.96
2013-06-10,125.73,127.62,124.72,126.28,678000,125.12
2013-06-07,123.49,125.18,120.43,124.55,528300,123.40
2013-06-06,119.54,123.10,118.74,122.88,578800,121.75
2013-06-05,121.95,123.51,119.14,119.72,819200,118.62
2013-06-04,126.09,127.47,121.74,122.63,881700,121.50
2013-06-03,127.79,127.91,122.50,126.42,1329500,125.26
2013-05-31,127.92,130.93,127.75,127.76,520600,126.58
2013-05-30,127.98,129.87,127.61,128.93,550100,127.74
2013-05-29,128.57,129.20,126.50,127.77,487300,126.59
2013-05-28,130.99,131.52,128.75,129.61,496300,128.42
2013-05-24,128.91,129.37,126.87,129.19,537000,128.00
2013-05-23,126.22,131.32,125.66,130.58,911600,129.38
2013-05-22,131.83,134.09,127.72,128.72,1230000,127.53
2013-05-21,129.84,131.31,128.74,130.97,784500,129.76
2013-05-20,130.50,131.50,129.15,129.53,513100,128.34
2013-05-17,129.15,130.99,128.95,130.71,719200,129.51
2013-05-16,129.34,130.73,127.99,128.10,832200,126.92
2013-05-15,130.39,130.49,127.81,129.67,765000,128.48
2013-05-14,127.49,129.92,127.44,129.00,1252500,127.19
2013-05-13,127.81,128.57,126.14,127.27,584600,125.49
2013-05-10,124.98,127.99,124.93,127.90,922200,126.11
2013-05-09,123.85,127.33,123.74,124.71,1547800,122.96
2013-05-08,122.65,123.64,121.40,123.60,830000,121.87
2013-05-07,119.07,122.80,118.21,122.65,1011000,120.93
2013-05-06,118.16,119.16,117.50,119.00,697600,117.33
2013-05-03,118.06,120.08,117.79,118.42,1237200,116.76
2013-05-02,113.26,116.30,113.00,116.00,1020700,114.37
2013-05-01,114.08,115.21,112.58,112.90,1190800,111.32
2013-04-30,115.84,116.13,113.14,114.28,1121600,112.68
2013-04-29,116.26,116.48,115.29,116.07,993300,114.44
2013-04-26,117.35,117.75,114.98,116.20,955400,114.57
2013-04-25,119.26,120.47,116.77,117.37,1403900,115.73
2013-04-24,119.81,120.46,112.56,119.25,2433500,117.58
2013-04-23,118.49,122.39,118.08,122.00,1910800,120.29
2013-04-22,117.51,118.56,114.86,118.02,878100,116.37
2013-04-19,112.90,118.16,112.26,117.13,1325300,115.49
2013-04-18,116.79,117.14,111.93,112.34,1300000,110.77
2013-04-17,115.57,117.00,115.29,116.53,892100,114.90
2013-04-16,114.15,116.95,114.15,116.78,1018200,115.14
2013-04-15,118.03,118.82,113.12,113.12,870500,111.54
2013-04-12,119.17,120.00,117.75,119.00,526700,117.33
2013-04-11,117.90,120.41,117.75,119.59,881600,117.91
2013-04-10,115.58,118.03,115.04,117.96,795900,116.31
2013-04-09,114.54,116.91,114.54,115.23,789400,113.62
2013-04-08,113.13,114.48,111.82,114.46,722100,112.86
2013-04-05,110.24,113.54,108.96,113.40,989300,111.81
2013-04-04,112.51,113.19,111.35,112.08,920800,110.51
2013-04-03,115.34,116.10,111.96,112.61,1719400,111.03
2013-04-02,116.50,117.19,114.59,114.99,1149200,113.38
2013-04-01,118.40,118.92,115.89,116.07,1011200,114.44
2013-03-28,116.23,118.85,116.12,118.46,1373100,116.80
2013-03-27,113.24,116.56,113.22,116.23,1518800,114.60
2013-03-26,114.74,114.79,113.81,114.29,758200,112.69
2013-03-25,114.88,115.74,113.01,113.76,1001400,112.17
2013-03-22,114.40,114.89,113.25,114.39,538600,112.79
2013-03-21,115.74,115.91,113.57,113.84,840600,112.24
2013-03-20,116.00,117.33,115.36,116.28,731600,114.65
2013-03-19,115.25,116.09,113.84,115.17,900500,113.56
2013-03-18,114.29,115.70,112.63,114.84,690100,113.23
2013-03-15,116.90,117.57,114.90,115.20,1561700,113.59
2013-03-14,118.36,118.85,117.09,117.49,1304100,115.84
2013-03-13,118.75,119.05,116.82,118.13,1158900,116.47
2013-03-12,119.01,119.54,117.85,118.86,1013100,117.19
2013-03-11,117.77,119.68,117.77,119.29,1553500,117.62
2013-03-08,117.80,119.29,116.53,117.75,1719300,116.10
2013-03-07,118.28,118.31,116.00,116.08,1667900,114.45
2013-03-06,118.91,119.99,117.94,118.51,1775500,116.85
2013-03-05,117.95,120.00,117.16,118.88,2092100,117.21
2013-03-04,113.97,117.63,113.60,117.36,2083100,115.72
2013-03-01,112.02,114.49,110.90,114.35,1657300,112.75
2013-02-28,111.08,114.30,110.84,112.95,1227000,111.37
2013-02-27,109.71,111.50,109.62,111.04,1080000,109.48
2013-02-26,108.24,110.55,107.85,110.10,1166700,108.06
2013-02-25,109.70,110.53,107.11,107.11,1588800,105.13
2013-02-22,107.22,110.13,106.95,109.55,1250400,107.52
2013-02-21,107.10,107.25,104.06,107.11,1774700,105.13
2013-02-20,112.69,112.89,107.22,107.57,1129600,105.58
2013-02-19,111.36,112.86,109.11,112.61,1491900,110.53
2013-02-15,111.18,111.62,110.20,111.33,922200,109.27
2013-02-14,110.22,111.40,110.13,111.00,633100,108.95
2013-02-13,110.88,111.65,110.24,110.98,1124700,108.93
2013-02-12,106.72,110.83,106.61,110.81,1204200,108.76
2013-02-11,107.33,108.22,105.93,106.47,777100,104.50
2013-02-08,107.00,107.95,106.68,107.32,596800,105.34
2013-02-07,108.69,109.76,106.84,107.00,1595500,105.02
2013-02-06,109.81,111.10,107.95,108.40,1375000,106.40
2013-02-05,112.23,112.58,110.26,110.89,1101800,108.84
2013-02-04,111.63,113.78,111.34,111.61,993400,109.55
2013-02-01,114.65,115.50,112.46,112.74,1264000,110.66
2013-01-31,112.65,115.67,110.35,115.38,2924800,113.25
2013-01-30,109.10,109.70,107.92,108.72,1166900,106.71
2013-01-29,106.20,109.52,105.23,109.36,871100,107.34
2013-01-28,110.83,111.04,104.39,106.29,1655800,104.32
2013-01-25,110.51,111.25,109.26,109.68,973900,107.65
2013-01-24,107.70,111.58,107.61,110.02,1486200,107.99
2013-01-23,103.62,108.17,103.41,107.70,2803400,105.71
