IBM:200.93:Moving up:200.93:203.00:199.06:201.23
IBM:200.97:Moving up:0.039999999999992:203.00:199.06:201.23
BAC:7.77:Moving up:7.77:7.82:7.65:7.73
MRK:38.44:Moving up:38.44:38.49:38.09:38.09
HD:50.66:Moving up:50.66:50.37:49.85:50.11
DD:52.12:Moving up:52.12:52.60:51.85:52.09
BA:74.22:Moving up:74.22:74.86:73.32:74.05
PG:64.21:Moving up:64.21:64.29:63.57:63.67
AXP:59.56:Moving up:59.56:59.99:58.93:59.46
PFE:22.88:Moving up:22.88:22.79:21.95:22.45
MCD:92.21:Moving up:92.21:93.09:91.56:91.93
AA:9.11:Moving up:9.11:9.27:9.00:9.15
MMM:87.33:Moving up:87.33:87.84:85.98:87.27
JNJ:64.58:Moving up:64.58:64.88:64.25:64.28
T:33.10:Moving up:33.1:33.03:32.71:32.81
KO:77.60:Moving up:77.6:77.19:76.49:76.78
PG:64.20:Moving down:-0.0099999999999909:64.29:63.57:63.67
BA:74.24:Moving up:0.019999999999996:74.86:73.32:74.05
WMT:59.38:Moving up:59.38:59.24:58.27:59.03
HPQ:23.58:Moving up:23.58:23.53:22.92:23.33
TRV:64.72:Moving up:64.72:64.32:63.60:63.92
KFT:39.14:Moving up:39.14:39.14:38.84:38.87
CVX:103.98:Moving up:103.98:102.50:101.37:101.78
CVX:104.00:Moving up:0.019999999999996:102.50:101.37:101.78
TRV:64.73:Moving up:0.010000000000005:64.32:63.60:63.92
CVX:103.98:Moving down:-0.019999999999996:102.50:101.37:101.78
AXP:59.58:Moving up:0.019999999999996:59.99:58.93:59.46
HPQ:23.59:Moving up:0.010000000000002:23.53:22.92:23.33
PFE:22.90:Moving up:0.02:22.79:21.95:22.45
BA:74.22:Moving down:-0.019999999999996:74.86:73.32:74.05
CVX:104.00:Moving up:104:102.50:101.37:101.78
CAT:96.00:Moving up:96:97.30:94.08:95.99
CAT:96.02:Moving up:96.02:97.30:94.08:95.99
MRK:38.45:Moving up:0.010000000000005:38.49:38.09:38.09
UTX:77.51:Moving up:77.51:77.91:76.76:77.01
BAC:7.78:Moving up:0.010000000000001:7.82:7.65:7.73
AXP:59.54:Moving down:-0.039999999999999:59.99:58.93:59.46
MRK:38.44:Moving down:-0.010000000000005:38.49:38.09:38.09
MCD:92.20:Moving down:-0.0099999999999909:93.09:91.56:91.93
CAT:95.91:Moving down:-0.11:97.30:94.08:95.99
JPM:40.92:Moving up:40.92:41.02:40.12:40.64
BAC:7.77:Moving down:-0.010000000000001:7.82:7.65:7.73
HD:50.62:Moving down:-0.039999999999999:50.37:49.85:50.11
PFE:22.89:Moving down:-0.009999999999998:22.79:21.95:22.45
UTX:77.47:Moving down:-0.040000000000006:77.91:76.76:77.01
